epoch,train_loss,train_acc,test_loss,test_acc
1,1.5419286735837305,43.382,1.1703464067020355,56.63
2,1.2107482346219278,56.362,1.0608385083393548,61.8
3,1.0935036814220427,61.072,0.9312037205734192,66.58
4,1.0235659850002174,63.936,0.9498149800224426,66.08
5,0.9870592125584815,64.876,0.8579549999854055,69.88
6,0.9489258941327313,66.536,0.8264898273129814,70.95
7,0.924454764056038,67.656,0.7980925091348898,71.85
8,0.9070765943917721,68.324,0.7939461598190637,72.18
9,0.888128975245408,68.722,0.7707067869913083,73.11
10,0.8629717664770491,69.814,0.7879444994865515,73.01
11,0.8506783188838495,70.26,0.8208195764226274,71.05
12,0.84014070588888,70.5,0.7446160007018251,74.16
13,0.8314583942017644,70.998,0.7370927514740453,74.78
14,0.8178355618310295,71.276,0.7441699156365075,74.27
15,0.8037776519721391,71.76,0.7147160443825463,75.46
